,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
616,Bogor,1.0,1650000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
617,Jakarta Pusat,1.0,1150000,0.0,0.0,Kos Campur,9.0,0,Jakarta,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
618,Jakarta Utara,0.0,1050000,5.0,7.0,Kos Campur,9.0,1,Jakarta,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1
619,Bogor,0.0,1200000,0.0,0.0,Kos Campur,9.0,0,Bogor,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
620,Bogor,0.0,1700000,0.0,0.0,Kos Putri,12.25,0,Bogor,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
621,Bogor,1.0,1700000,0.0,0.0,Kos Putri,9.0,0,Bogor,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
622,Tangerang,2.0,2500000,0.0,5.0,Kos Campur,28.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1
623,Jakarta Utara,1.0,1200000,0.0,0.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
624,Depok,0.0,1500000,0.0,0.0,Kos Campur,24.0,0,Depok,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1
625,Jakarta Barat,0.0,2250000,0.0,2.0,Kos Campur,10.5,0,Jakarta,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
626,Bekasi,2.0,500000,0.0,0.0,Kos Campur,9.0,0,Bekasi,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
627,Bekasi,2.0,500000,0.0,0.0,Kos Campur,9.0,0,Bekasi,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
628,Bekasi,2.0,500000,0.0,0.0,Kos Campur,9.0,0,Bekasi,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
629,Bekasi,2.0,500000,0.0,0.0,Kos Campur,9.0,0,Bekasi,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
630,Bekasi,2.0,500000,0.0,0.0,Kos Campur,9.0,0,Bekasi,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
631,Jakarta Pusat,0.0,2650000,0.0,1.0,Kos Campur,9.0,0,Jakarta,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
632,Jakarta Barat,1.0,1900000,0.0,0.0,Kos Campur,16.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
633,Bekasi,0.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bekasi,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
634,Bekasi,0.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bekasi,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
